feature_set,ROC_AUC,AUPRC,success_FAR@T3,median_lead_steps@T3
step_count_only,0.6619,0.8017,0.0714,10.0
length_pace,0.6818,0.8253,0.0786,10.0
action_counts,0.6699,0.8149,0.05,13.0
context_before_edit,0.5835,0.7311,0.0,18.0
file_behavior,0.6032,0.764,0.0,13.5
testing_behavior,0.5418,0.6939,0.0143,16.5
loop_behavior,0.6691,0.812,0.0857,10.5
all_structured,0.6923,0.832,0.0857,14.0
all_structured_plus_text,0.6396,0.795,0.1929,14.0
