model,features,split,ROC_AUC,ROC_AUC_lo,ROC_AUC_hi,AUPRC,Brier,ECE,success_FAR@T3,failed_coverage@T3,median_lead_steps@T3
baseline_majority,none (constant),instance,0.5,0.5,0.5,0.667,0.2311,0.0948,0.0,0.0,0.0
baseline_step_count_only,step count only,instance,0.6421,0.5994,0.6848,0.8018,0.21,0.0843,0.0714,0.3737,10.0
heuristic_rule_monitor,hand rules,instance,0.5396,0.4363,0.6434,0.702,0.2245,0.071,0.2429,0.3434,18.0
logistic_regression,structured,instance,0.6911,0.6357,0.7493,0.833,0.2045,0.0709,0.1643,0.4798,16.0
random_forest,structured,instance,0.7155,0.6616,0.7676,0.8444,0.2022,0.0735,0.15,0.4798,17.0
hist_gradient_boosting,structured,instance,0.6923,0.6396,0.7512,0.832,0.2053,0.0741,0.0857,0.4091,14.0
structured_plus_tfidf_logistic,structured + text,instance,0.6396,0.5467,0.7459,0.795,0.2282,0.125,0.1929,0.3636,14.0
